Hotel_Name,Hotel_Rating,Room_type,Room_price,Room_sqft,Facilities,Location
Chateau Windsor Hotel - Marine Drive,7.7,Superior Triple Room,$267,450 feet²,"['Free parking', 'Balcony', 'Air conditioning', 'Free WiFi', 'Shower', 'Minibar', 'Flat-screen TV', 'Room service', 'Non-smoking rooms', 'City view']","86 Veer Nariman Road, Churchgate, Churchgate, 400020 Mumbai, India"
Hyatt Centric Juhu Mumbai,7.5,,,,"['City view', 'Swimming pool', 'Free parking', 'Bathtub', 'Air conditioning', '24-hour front desk', 'Key card access', 'Daily housekeeping', 'Non-smoking rooms', 'Baggage storage']","Juhu Tara Road, Juhu, 400049 Mumbai, India"
"Fariyas Hotel Mumbai , Colaba",6.5,Premium Sea View Room with Cut Fruit Platter (On Call) & Unlimited drinks between 18:30 and 19:30 at Tamarind Restaurant (T&C Apply),$521,216 feet²,[],"25, Off Arthur Bunder Road, Colaba, Colaba, 400005 Mumbai, India"
OSI Service Apartments Jogeshwari West,6.7,Two-Bedroom Apartment,$163,650 feet²,"['Apartments', 'City view', 'Washing machine', 'Free WiFi', 'Air conditioning', 'Private Bathroom', 'Daily housekeeping', 'Baggage storage', 'Elevator', 'Parking on site']","904 Range Heights Behraum Baug Jogeshwari West, 400102 Mumbai, India"
Hotel Balwas,6.3,Deluxe Double Room,$124,,[],"323, Opposite Super Cinema, 12th Lane, Grant Road, 400007 Mumbai, India"
"InterContinental Marine Drive Mumbai, an IHG Hotel",8.5,1 King Bed Premium Sea View Smoking,"$1,000",550 feet²,"['Swimming pool', 'Free WiFi', 'Free parking', 'Bathtub', 'Air conditioning', '24-hour front desk', 'Key card access', 'Daily housekeeping', 'Non-smoking rooms', 'Safe']","135 Marine Drive, Churchgate, 400020 Mumbai, India"
Hotel Linkway,7.5,Standard Double or Twin Room,$147,165 feet²,[],"519, Vithalbhai Patel Road, Linking Road, Bandra West, Khar, 400052 Mumbai, India"
Ramada Plaza By Wyndham Palm Grove,7.0,,,,"['City view', 'Swimming pool', 'BBQ facilities', 'Free WiFi', 'Free parking', 'Bathtub', 'Air conditioning', '24-hour front desk', 'Key card access', 'Daily housekeeping']","Juhu Tara Road, Juhu Beach, Juhu, 400049 Mumbai, India"
Radisson Mumbai Andheri MIDC,8.2,,,,"['City view', 'Swimming pool', 'Free WiFi', 'Free parking', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Key card access', 'Daily housekeeping', 'Non-smoking rooms']","X-22, MIDC Central Road, Andheri East, 400093 Mumbai, India"
GCC Hotel and Club,7.2,,,,[],"Off.Mira Road East Next to W.E Highway, 401107 Mumbai, India"
Residency Hotel Andheri,7.3,,,,[],"Suren Road, Opp, Cinemax Theatre,Andheri-Kurla Road, 400093 Mumbai, India"
Four Seasons Hotel Mumbai,8.5,,,,"['City view', 'Pet friendly', 'Swimming pool', 'Free WiFi', 'Free parking', 'Bathtub', 'Air conditioning', '24-hour front desk', 'Key card access', 'Daily housekeeping']","114 Dr E Moses Road, Worli, Worli, 400018 Mumbai, India"
ibis Mumbai Airport - An Accor Brand,6.4,,,,"['Parking', 'Pet friendly', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'View', 'Free WiFi', 'Adults only', 'Shower', 'Minibar']","Nehru Road, Ville parle (E), Western Expressway, Near Domestic Airport, 400099 Mumbai, India"
